wach ghanmot,corona_is_death
mredt b corona wach ghanmot ?,corona_is_death
واش كورونا قاتل,corona_is_death
واش غنموت الى مرضت بكورونا,corona_is_death
كورونا قاتل,corona_is_death
واش غنموت,corona_is_death
مرضت بكورونا واش غنموت,corona_is_death
واش كورونا قاتب,corona_is_death
kay9tl,corona_is_death
kayqtl,corona_is_death
kay9tal ghi sghar,corona_is_death
ka9tal lkbar,corona_is_death
كقتل لكبار,corona_is_death
كينتاشر بسرعة,corona_is_death
سريع الانتشار,corona_is_death
واش انموت ايلا مرضت بكورونا,corona_is_death
علاش كورونا سريع الانتشار,corona_is_death
كيقتل الاطفال,corona_is_death