Shkoun nta,personal_questions
""" علاش نتا كاين""",personal_questions
ندوزو واتساب؟,personal_questions
شنو سميتك ؟,personal_questions
اه ، شنو الدور ديالك ؟,personal_questions
باش ممكن تفيديني,personal_questions
واش نتي ذكية؟,personal_questions
شنو هي الخدمة ديالك,personal_questions
أين تسكنين,personal_questions
اشنو خدماك,personal_questions
اسمك,personal_questions
شكون صنعك,personal_questions
شنو سميتك,personal_questions
كاندوي بالأمازيغية؟,personal_questions
نتي سميتك رغد,personal_questions
اجي شحال فعمرك,personal_questions
مكان الإقامة,personal_questions
شحال فعمرك,personal_questions
شنو خدمتك,personal_questions
wach darija b 7orof 3arabia ola 7orof faranssia,personal_questions
شكون نتي؟,personal_questions
واش نتي مخطوبة,personal_questions
عطيني نمرتك أزين,personal_questions
واش كين عندك شي مشكل؟,personal_questions
مالكي,personal_questions
nti bikhir,personal_questions
labass elik,personal_questions
cv alik,personal_questions
ki dayra,personal_questions
shkon nti,personal_questions