ماشي سوقك,refuse_to_answer
ماعنديش سمية,refuse_to_answer
لا قلت ليك علاش بغيتي سميتي,refuse_to_answer
ماشي شغلك,refuse_to_answer
ma3andi bach n3wnk ri ser,refuse_to_answer
no,refuse_to_answer
la,refuse_to_answer
la man9derch,refuse_to_answer
لا,refuse_to_answer
sme7li man9derch,refuse_to_answer
Nope,refuse_to_answer
nn,refuse_to_answer
Non,refuse_to_answer
منقدرش,refuse_to_answer
لا مبغيتش,refuse_to_answer
مبغيتش,refuse_to_answer
لائح,refuse_to_answer
مباغاش,refuse_to_answer
لا صافي,refuse_to_answer
علاش بغيتي تعرفي سميتي,refuse_to_answer
اشنو متعرفي ديري,refuse_to_answer
لا مغانسولكش,refuse_to_answer